municipality,roll_no_txt,civic_address,dwelling_units,classes,event_year,kind,confidence,buildings,buildings_prev,gain,is_primary,legal_description
340 - TOWN OF NIVERVILLE,19500.000,111 2ND AVE S,35,INST,2017,appeared,high,2043000,0,2043000,TRUE,3--60588
433 - CITY OF MORDEN,92650.000,215 Stephen ST,14,OTHER|R2,2017,appeared,high,1764900,0,1764900,TRUE,16/21-24-863
105 - MUNICIPALITY OF BIFROST-RIVERTON,438500.000,70 MAIN ST,12,OTHER|R2,2017,appeared,high,1028200,0,1028200,TRUE,15/16-2-17080
105 - MUNICIPALITY OF BIFROST-RIVERTON,421910.000,64 MAIN ST N,39,R2,2017,expanded,high,1360300,405500,954800,FALSE,2/3--45039
351 - TOWN OF STE. ANNE,42500.000,418 CENTRAL AVE,16,R2,2017,appeared,high,909300,0,909300,FALSE,1-29623
407 - TOWN OF CARBERRY,83700.000,365 DUFFERIN ST,8,R2,2017,appeared,high,847300,0,847300,TRUE,4--56610
407 - TOWN OF CARBERRY,83800.000,347 DUFFERIN ST,8,R2,2017,appeared,high,847300,0,847300,TRUE,5--56610
144 - MUNICIPALITY OF LORNE,329500.000,88 NOTRE DAME AVE NW,18,R1,2017,expanded,high,1594700,755100,839600,TRUE,2/3--21006
411 - CITY OF DAUPHIN,42050.000,135 1ST AVE SW,14,INST,2017,appeared,high,756700,0,756700,TRUE,DESC 18/20-1-243
433 - CITY OF MORDEN,42300.000,126 9TH ST S,16,R2,2017,expanded,high,838900,96300,742600,FALSE,2--68675
138 - RM OF LA BROQUERIE,113295.000,7 CHOISELAT ST,7,R2,2017,new_roll,med,614400,0,614400,TRUE,2--58175
164 - MUNICIPALITY OF RHINELAND,414930.000,16 MAPLE DR,23,R2,2017,appeared,high,569800,0,569800,TRUE,3/6-2-1044
605 - RM OF FISHER,457660.000,21 HERITAGE ROW,5,R2,2017,appeared,high,513800,0,513800,TRUE,DESC 5--36982
363 - TOWN OF TEULON,6900.000,149 FIRST ST SE,16,R2,2017,expanded,high,678300,179600,498700,TRUE,8-5-1155
500 - CITY OF BRANDON,19281.000,229 12TH ST,4,R1,2017,appeared,high,494200,0,494200,TRUE,29/30-45-2
187 - MUNICIPALITY OF GLENBORO-SOUTH CYPRESS,234570.000,104 - 114 MILES ST,10,R3,2017,expanded,high,748800,274600,474200,TRUE,20--59517
457 - TOWN OF THE PAS,182630.000,17 ST GODDARD ST,4,R1,2017,appeared,high,418600,0,418600,TRUE,2-30226
433 - CITY OF MORDEN,42100.000,220 9TH ST S,26,R2,2017,expanded,high,857100,448700,408400,TRUE,1--55044
500 - CITY OF BRANDON,53751.000,415 ROSSER AVE E,3,R1,2017,appeared,high,390200,0,390200,TRUE,DESC 5/6-35-4
153 - MUNICIPALITY OF BOISSEVAIN-MORTON,237200.000,478 CHERRY ST,4,R1,2017,appeared,high,377800,0,377800,TRUE,1/2-13-403
129 - RM OF GIMLI,136300.000,109129 PTH 9,4,R2,2017,appeared,high,360300,0,360300,TRUE,2/3--6767
340 - TOWN OF NIVERVILLE,32160.000,10 CEDAR DR,3,OTHER|R1,2017,expanded,high,970500,640800,329700,TRUE,1--47549
550 - CITY OF PORTAGE LA PRAIRIE,65450.000,Unit 540 - 560 13TH ST NW,8,R1,2017,appeared,high,280600,0,280600,FALSE,A&B&D&E&F&G&H--21568
609 - MUNICIPALITY OF HARRISON PARK,51840.000,SPORTYS-OLD RED BARN,9,OTHER|R1,2017,new_roll,med,236000,0,236000,FALSE,5--5854
114 - MUNICIPALITY OF CLANWILLIAM-ERICKSON,211500.000,59 FIRST ST NE,21,R2,2017,expanded,high,450700,225500,225200,TRUE,DESC 23/27--651
411 - CITY OF DAUPHIN,219400.000,15 RAILWAY AVE,3,R1,2017,expanded,high,227600,23800,203800,TRUE,10-2-420
433 - CITY OF MORDEN,125400.000,505 NORTH RAILWAY ST,3,R1,2017,expanded,high,170100,66300,103800,FALSE,11/12-46-863
206 - RM OF WOODLANDS,27400.000,323 ATWELL LANE,3,R1,2017,expanded,high,231700,128300,103400,TRUE,1--74031
400 - TOWN OF ALTONA,17200.000,140 10th AVE NE,117,INST|R2,2016,appeared,med,11141400,495100,10646300,TRUE,DESC 7/14--243
500 - CITY OF BRANDON,346858.000,1324 1ST ST N,48,R2,2016,appeared,high,8054300,0,8054300,TRUE,8/9-1-848
447 - CITY OF SELKIRK,287749.000,300 Tudor Road AVE W,34,R2,2016,appeared,high,4627500,0,4627500,TRUE,3--50781
447 - CITY OF SELKIRK,87300.000,424 EVELINE ST,40,R2,2016,appeared,high,4214700,0,4214700,TRUE,1-2-24842
165 - RM OF RITCHOT,104092.000,511 MEADOWLARK BLVD,58,R2,2016,expanded,low,8068900,4405100,3663800,TRUE,11/12--47328
560 - CITY OF THOMPSON,132000.000,107 NICKEL RD,114,R2,2016,expanded,low,6134100,2780700,3353400,TRUE,1--49408
409 - TOWN OF CARMAN,117505.000,180 SOUTH PARK DR,68,R2,2016,expanded,low,8977200,5624000,3353200,TRUE,1-1-47843
189 - RM OF SPRINGFIELD,178800.000,628 MAIN ST,24,R2,2016,appeared,high,2940300,0,2940300,TRUE,DESC A--54439
433 - CITY OF MORDEN,301380.000,930 PARKHILL DR,24,R2,2016,appeared,high,2652100,0,2652100,TRUE,1--61904
451 - CITY OF STEINBACH,4050.000,295 LOEWEN BLVD,33,R2,2016,appeared,high,2000400,0,2000400,TRUE,B&C--55373
451 - CITY OF STEINBACH,219000.000,177 BRANDT ST,14,R2,2016,appeared,high,1807800,0,1807800,TRUE,DESC 1/14-55740
500 - CITY OF BRANDON,84673.000,338 VICTORIA AVE,12,R2,2016,appeared,high,1759800,0,1759800,TRUE,DESC 16/20-78-8
500 - CITY OF BRANDON,23689.000,148 13TH ST,12,R2,2016,appeared,high,1615600,0,1615600,TRUE,4/7-56-2
448 - TOWN OF SNOW LAKE,34700.000,248 COPPER RD,18,R2,2016,expanded,low,2082500,506400,1576100,TRUE,A-830
451 - CITY OF STEINBACH,202630.000,302 FOURTH ST,12,R2,2016,appeared,high,1525100,0,1525100,TRUE,1/12-56682
451 - CITY OF STEINBACH,42275.000,35 CAMBRIDGE WAY,12,R2,2016,appeared,high,1467000,0,1467000,TRUE,B--55692
181 - RM OF RIDING MOUNTAIN WEST,13980.000,,14,R1,2016,expanded,low,2435000,1365600,1069400,TRUE,DESC NE32-22-28W
138 - RM OF LA BROQUERIE,113300.000,11 CHOISELAT UNITS 1-10 ST,10,R2,2016,expanded,low,1042400,163700,878700,TRUE,1--58175
300 - TOWN OF ARBORG,42000.000,331 FIRST AVE,10,R2,2016,appeared,high,849800,700,849100,TRUE,4--57935
411 - CITY OF DAUPHIN,54600.000,213 MAIN ST N,15,OTHER|R2,2016,appeared,med,857000,23600,833400,TRUE,DESC 8&13-10-243
560 - CITY OF THOMPSON,207200.000,37 CENTENNIAL DR W,8,R2,2016,appeared,high,821500,0,821500,TRUE,2-132-834
461 - TOWN OF VIRDEN,144800.000,580 EDGAR AVE,12,R2,2016,expanded,low,1514000,723200,790800,TRUE,13/15-3-2004
500 - CITY OF BRANDON,149971.000,711 11TH ST,6,R2,2016,appeared,high,758000,0,758000,TRUE,3/5-38-16
451 - CITY OF STEINBACH,103600.000,510 WILSON ST,29,INST,2016,expanded,low,913200,269700,643500,FALSE,2--70218
451 - CITY OF STEINBACH,320298.000,217 BISCAYNE DR,4,R2,2016,appeared,high,623500,0,623500,TRUE,8--54862
619 - TOWN OF GILLAM,1500.000,223 RAILWAY AVE,11,R2,2016,expanded,low,759400,142200,617200,TRUE,5-2-603
560 - CITY OF THOMPSON,132400.000,135 NICKEL RD,19,R2,2016,expanded,low,1021600,421100,600500,TRUE,4--49408
359 - MUNICIPALITY OF STE. ROSE,13400.000,613 - 615 THIRD AVE E,8,INST,2016,appeared,high,571700,0,571700,TRUE,17/18-16-204
333 - TOWN OF LAC DU BONNET,7105.000,86 4th ST,4,R1,2016,appeared,high,552500,0,552500,TRUE,3-16-1390
560 - CITY OF THOMPSON,132100.000,121 NICKEL RD,19,R2,2016,expanded,low,964500,420900,543600,TRUE,2--49408
500 - CITY OF BRANDON,27714.000,139 5TH ST,8,INST,2016,appeared,high,542600,0,542600,TRUE,DESC 31/32-65-2
451 - CITY OF STEINBACH,320296.000,209 BISCAYNE DR,3,R1,2016,appeared,high,512300,0,512300,TRUE,7--54862
500 - CITY OF BRANDON,90274.000,659 RIDEAU ST,3,R1,2016,appeared,high,496500,0,496500,TRUE,19/20-11-9
449 - MUNICIPALITY OF SOURIS-GLENWOOD,2200.000,19 3RD AVE W,23,R1|R2,2016,expanded,low,808000,364100,443900,TRUE,DESC 5/7&20/22-2-17
457 - TOWN OF THE PAS,114000.000,336 CROSSLEY AVE,4,R1,2016,appeared,high,442800,0,442800,TRUE,DESC 4/5-53-587
500 - CITY OF BRANDON,204503.000,1061 13TH ST,4,R1,2016,appeared,high,428700,0,428700,TRUE,DESC 38/40-11-193
443 - RIVERDALE MUNICIPALITY,16700.000,529 3RD AVE,4,R1,2016,appeared,high,419100,0,419100,TRUE,19/20-9-236
457 - TOWN OF THE PAS,114400.000,304 CROSSLEY AVE,4,R1,2016,appeared,high,410900,0,410900,TRUE,DESC 8-53-587
451 - CITY OF STEINBACH,425095.000,16 KOOTENAY WAY,4,R2,2016,appeared,high,382900,0,382900,TRUE,4-5-52695
550 - CITY OF PORTAGE LA PRAIRIE,192200.000,160B 1st ST NW,8,INST,2016,appeared,high,376600,0,376600,TRUE,406/410-12
500 - CITY OF BRANDON,67652.000,1128 6TH ST,3,R1,2016,appeared,high,375200,0,375200,TRUE,11/13-30-7
411 - CITY OF DAUPHIN,49000.000,217 MAIN ST S,3,OTHER|R1,2016,appeared,high,368600,0,368600,TRUE,9-7-243
500 - CITY OF BRANDON,67074.000,1151 5TH ST,3,R1,2016,appeared,high,360900,0,360900,TRUE,35/36-28-7
363 - TOWN OF TEULON,30200.000,112 BEACH RD E,24,INST|R2,2016,expanded,low,712400,373800,338600,TRUE,2--71015
407 - TOWN OF CARBERRY,15300.000,111 YOUNG ST,3,R1,2016,appeared,high,303500,0,303500,TRUE,21/22-21-44
167 - CARTWRIGHT-ROBLIN MUNICIPALITY,234150.000,545/555/ - 565/575 SOUTH RAILW,4,R1,2016,new_roll,med,296400,0,296400,TRUE,12/14--57032
457 - TOWN OF THE PAS,103300.000,19 2ND ST W,16,R2,2016,expanded,low,638800,348800,290000,TRUE,DESC 9/10-44-587
707 - INCORPORATED COMMUNITY OF CROSS LAKE,96362.000,601 SETTEE DR,5,R1,2016,appeared,high,269600,0,269600,TRUE,DESC 1-1-7480
192 - RM OF PRAIRIE LAKES,93339.000,,4,R1,2016,new_roll,med,223800,0,223800,TRUE,1--57947
163 - RM OF PORTAGE LA PRAIRIE,552400.000,60048 - 60052 ROAD 39 W,3,R1,2016,appeared,high,215400,600,214800,TRUE,DESC SE4-11-7W
560 - CITY OF THOMPSON,81900.000,20 FOX BAY,8,OTHER|R1|R2,2016,expanded,low,335000,139300,195700,TRUE,10-60-752
165 - RM OF RITCHOT,294940.000,1039 OLD PTH 59,36,R1|R2,2016,new_roll,med,150500,0,150500,FALSE,3--57061
323 - GILBERT PLAINS MUNICIPALITY,35700.000,109 - 115 SCHOOL ST,4,R1,2016,expanded,low,318400,198800,119600,TRUE,DESC 2-2-365
451 - CITY OF STEINBACH,139600.000,445 BARKMAN AVE,8,R2,2016,expanded,low,243900,130400,113500,TRUE,DESC 7--4651
163 - RM OF PORTAGE LA PRAIRIE,558120.000,36127 ROAD 61 N,7,R2,2016,expanded,low,243700,130600,113100,TRUE,1--70323
606 - RM OF GRAHAMDALE,462550.000,193 BIG ROCK RD,7,OTHER|R1,2016,expanded,low,232500,127900,104600,TRUE,DESC SE10-33-7W
461 - TOWN OF VIRDEN,62100.000,241 9TH AVE S,6,R1,2016,expanded,low,227400,126600,100800,TRUE,DESC 1/3--1093
